dataset_name,model_name,sampling_time_step_count,hyperparameter1,hyperparameter1_name,hyperparameter2,hyperparameter2_name,rmse,crps,time_s_mean,k,tie_breaker
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.2,lambda,0.2075844607499802,6.642642651554026,0.035365620459999005,19,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.2,lambda,0.20760447063652465,6.132213976933143,0.037156482379999856,20,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.3,lambda,0.23505402203471878,7.480925063916105,0.03819985812000013,21,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.3,lambda,0.23506571585638544,7.517981210584656,0.03361604612000022,22,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.3,lambda,0.23506703616155036,7.5217326684848445,0.03918275600000072,23,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.3,lambda,0.2350671696479313,7.522108176022104,0.03892209645999998,24,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.3,lambda,0.23509717567571634,7.142312166729091,0.02982377414000027,25,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.4,lambda,0.25863140296029463,7.595371885489294,0.03746705215999981,26,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.4,lambda,0.26085189324619756,8.183898949506993,0.03350806038000144,27,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.4,lambda,0.2609954453149707,8.325025323603157,0.035195620620000055,28,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.4,lambda,0.26103713441944154,8.350680034755888,0.035265611460000346,29,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.4,lambda,0.26104262677040163,8.353123760617141,0.03485854435999926,30,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.5,lambda,0.29424349962661345,7.450651719131173,0.040423601960000895,31,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.5,lambda,0.3097122317281894,8.397215599570243,0.038827051819997675,32,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.6,lambda,0.31364013272868463,7.514288007283336,0.03043046271999998,33,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.5,lambda,0.31580250867085824,8.934782129651078,0.033973017540000684,34,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.5,lambda,0.31759678911263656,9.138246707283493,0.03884080119999993,35,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.5,lambda,0.3224306154828994,10.267748546860972,0.044972011680000035,36,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.7,lambda,0.3238641846605577,7.562613702985861,0.037840157439999585,37,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.6,lambda,0.3279132481618344,8.04413975964741,0.03816528436000027,38,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.7,lambda,0.32872695646627487,7.6960910021262725,0.03735178513999984,39,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.7,lambda,0.3287894217897041,7.699085363314569,0.030842657059999966,40,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.7,lambda,0.3291061160089467,7.708664122015941,0.03703827884000035,41,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.7,lambda,0.32929124756694295,7.7110374699206155,0.0356777795399995,42,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.6,lambda,0.32959575888553366,8.111928281353563,0.03459328104000093,43,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.6,lambda,0.3305108614886194,8.14908965470105,0.03506344879999986,44,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.6,lambda,0.3311100711511727,8.178171561486334,0.04402199487999923,45,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.8,lambda,0.3569428492530759,8.281110726354518,0.037352207000000276,46,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.8,lambda,0.3595312150389906,8.340751140557185,0.03271044916000008,47,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.8,lambda,0.3599031710172467,8.34934535860956,0.042431247699999515,48,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.8,lambda,0.3599118431029386,8.349074291285968,0.03793427457999968,49,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.8,lambda,0.3606801905532,8.367238753604658,0.03078493476000034,50,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.9,lambda,0.3898911724303473,9.086523363241383,0.03956989207999953,51,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.9,lambda,0.39054102725284834,9.09796212074134,0.03367057307999957,52,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.9,lambda,0.39107602055841,9.109044252478162,0.031016035939999683,53,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.9,lambda,0.3911752461882404,9.112116916999025,0.0307754543800003,54,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.9,lambda,0.39138342238809637,9.117556885630167,0.030439672439999583,55,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,1.0,lambda,0.4591673429068366,10.721503571931562,0.030561805220000054,56,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,1.0,lambda,0.45954529632542856,10.732308577394951,0.03892974770000038,57,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,1.0,lambda,0.45981469187020024,10.737464755689262,0.03555108375999978,58,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,1.0,lambda,0.46059896878520995,10.753172012777462,0.03137993585999951,59,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,1.0,lambda,0.4613005617756584,10.76966630537344,0.031505700160000316,60,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.001,lambda,1.0709389566749372,24.85975831155163,0.03426342294000065,61,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.001,lambda,1.0756994391039196,24.967705022439088,0.0354584787000006,62,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.001,lambda,1.075915032135631,24.97169020569087,0.0315852658999998,63,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.001,lambda,1.0855968569089476,25.179148667581757,0.037239309879999356,64,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.001,lambda,1.0913666183028352,25.314451178631007,0.03557186656000056,65,1
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.005,lambda,0.07421118335911724,2.3428666363903354,0.10252980537999946,1,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.005,lambda,0.07893355051284288,2.5226239356761777,0.0878635014399984,2,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.005,lambda,0.07907470659713761,2.5300105678034277,0.10055821239999943,3,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.005,lambda,0.09327741080473569,2.0742840174280675,0.09757664290000037,4,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.05,lambda,0.12062665705976632,3.740908130585157,0.10600211394000013,5,1
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.05,lambda,0.12063875055060054,3.8462099895042403,0.10436467151999806,6,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.05,lambda,0.12064620891588985,3.859163857828067,0.10133901598000052,7,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.05,lambda,0.12064716775506336,3.8605569661456176,0.09201115239999978,8,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.05,lambda,0.12098513648645265,3.0793389681994356,0.09616127860000034,9,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.1,lambda,0.16029008010838847,5.03811669087329,0.07305253566000033,10,1
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.1,lambda,0.16032228640466367,5.120311662168342,0.09977914693999906,11,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.1,lambda,0.16032886731362325,5.129504833685596,0.09828019989999888,12,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.1,lambda,0.16032956526182032,5.1304440427577,0.0911072356600016,13,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.1,lambda,0.16045373975455057,4.432806480982884,0.10015202656000043,14,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.005,lambda,0.19965775475598435,4.683350992512291,0.07400857613999846,15,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.2,lambda,0.20621350998556295,6.539750948070206,0.09226939718000125,16,1
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.2,lambda,0.2062319179813515,6.593342252786283,0.10077186783999821,17,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.2,lambda,0.2062341189266249,6.598881978089671,0.09597948803999884,18,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.2,lambda,0.20623433662894897,6.5994377718127,0.10016042563999945,19,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.2,lambda,0.20626056305323293,6.084622714386028,0.09784376879999997,20,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.3,lambda,0.233490754098958,7.430251846542052,0.09594258534000119,21,1
